Investor name,Website,Global HQ,Countries of investment,Stage of investment,Investment thesis,Investor type,First cheque minimum,First cheque maximum
Saola Ventures,https://www.saola.ventures/,UK,"uk,usa,germany,france",3. Early Revenue,"We invest in B2B and B2C companies within climate change, automation, wellness & longevity, future of food & agriculture",Other,$10000,$100000
Clean Growth Fund,https://www.cleangrowthfund.com/,"Pennine Place, 2A Charing Cross Road, London, UK WC2H 0HH",uk,"3. Early Revenue,2. Prototype,4. Scaling",We invest in early-stage UK cleantech companies,VC,$500000,$3750000
Overline,https://overline.vc/,"4675 Lakeway Place, Alpharetta, GA 30005",usa,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in exceptional seed-stage founders based in the Southeast—full stop. Overline is sector and business model agnostic and write checks from $250K to $1.5MM. We have a deep engagement model where we activate our network in support of helping the business reach the next milestone. ,VC,$250000,$1500000
Syndicate 708,https://www.syndicate708.com/,"14540 Red Hawk Lane, Poway, CA 92064",usa,"1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in Deep Tech companies. 
Deep tech, or deep technology startup companies are based on substantial scientific advances and high tech engineering innovation, and they take longer than many software and SAAS plays.  Deep Tech is often set apart by its profound enabling power, the differentiation it can create, and its potential to catalyze change. They do require more patience as the technology is developed, matured, and markets built.  ",Angel network,$100000,$500000
11 Tribes Ventures,https://11tribes.vc/,"Chicago, IL",usa,"2. Prototype,3. Early Revenue,4. Scaling",We invest in purpose driven entrepreneurs that are creating category defining technologies.  We are multi-sector investors focused on the underwriting of people. We want to work with founders that are obsessed with a problem and not just their own solution and are looking for a partner to take their business to the next level.  ,VC,$100000,$300000
Axial Capital,https://axialcapital.co.uk/,"63 Hatton Garden, London EC1N 8LE","uk,canada,australia,france,italy,denmark,sweden,spain,poland","3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","We invest in IP driven or tech-enabled B2B solutions across most sectors. Proven market fit and consistent revenue growth over 12+ months is our starting point.  Based in London we provide structured finance and private equity for growth, and we lead on investment rounds drawing additional capital from public and private capital markets including main-board and growth-stage stock exchanges in the UK, North America and Australia.",Corporate VC,$50000,$1000000
Exitfund Ventures,https://exitfund.com/,"San Jose, California ","usa,india","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth","We invest in software startups in the US or India that are solving big problems.
We are open for any software, web3.0, blockchain, AI, Generative AI, Healthtech, Fintech or a tech-based startup to invest irrespective of sector.",VC,$10000,$100000
Redrice Ventures,https://www.redriceventures.com/,"11 Emerald Street, London, WC1N 3QL",uk,"3. Early Revenue,4. Scaling","We invest in seed and series A purpose-driven B2C and DTC consumer goods and brands, future of commerce platforms and marketplaces, and related SAAS tech solutions",VC,$200000,$2000000
YAP Capital,https://www.yapcapital.ventures/,Munich,"germany,france,italy,uk,norway,south africa,central african republic,usa,singapore,saudi arabia,afghanistan,albania,algeria,andorra,angola,antigua and barbuda,argentina,armenia,australia,austria,azerbaijan,bahamas,bahrain,bangladesh,barbados,belarus,belgium,belize,benin,bhutan,bolivia,bosnia-h,botswana,brazil,brunei,bulgaria,burkina faso,burundi,cabo verde,cambodia,cameroon,canada,chad,chile,china,colombia,comoros,congo (congo-brazzaville),costa rica,côte d'ivoire,croatia,cuba,cyprus,czech republic,drc congo,denmark,djibouti,dominica,dominican republic,ecuador,egypt,el salvador,equatorial guinea,eritrea,estonia,""eswatini (fmr. """"swaziland"""")"",ethiopia,fiji,finland,gabon,gambia,georgia,ghana,greece,grenada,guatemala,guinea,guinea-bissau,guyana,haiti,holy see,honduras,hong kong,hungary,iceland,india,indonesia,iran,iraq,ireland,israel,jamaica,japan,jordan,kazakhstan,kenya,kiribati,kuwait,kyrgyzstan,laos,latvia,lebanon,lesotho,liberia,liechtenstein,lithuania,luxembourg,lybia,madagascar,malawi,malaysia,maldives,mali,malta,marshall islands,mauritania,mauritius,mexico,micronesia,moldova,monaco,mongolia,montenegro,morocco,mozambique,myanmar,namibia,nauru,nepal,netherlands,new zealand,nicaragua,niger,nigeria,north korea,north macedonia,oman,pakistan,palau,palestine,panama,papua new guinea,paraguay,peru,philippines,poland,portugal,qatar,romania,rwanda,saint vincent and the grenadines,samoa,san marino,sant kitts and nevis,sant lucia,sao tome and principe,senegal,serbia,russia,seychelles,sierra leone,slovakia,slovenia,solomon islands,somalia,south korea,south sudan,spain,sri lanka,sudan,suriname,sweden,switzerland,syria,taiwan,tajikistan,tanzania,thailand,timor-leste,togo,tonga,trinidad and tobago,tunisia,turkey,turkmenistan,tuvalu,uae,uganda,ukraine,uruguay,uzbekistan,vanuatu,venezuela,vietnam,yemen,zambia,zimbabwe","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in core infrastructure projects, decentralized finance (DeFi), Metaverse, gaming applications, and the tools and services required to develop a new product.",Family office,$50000,$250000
BDC Capital,https://www.bdc.ca/en/bdc-capital,"5 Place Ville Marie, Ground floor Montreal, Quebec H3B 5E7",canada,"2. Prototype,3. Early Revenue,4. Scaling",We invest in Canada-based early-stage B2B startups solving technical problems in the enterprise and across industries. ,VC,$500000,$7500000
Incisive Ventures,https://incisive.vc,"2212 Queen Anne Ave N, Suite 827, Seattle, WA 98109","kenya,nigeria,south africa,usa,india","1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in technology companies that reduce friction at scale in the pre-seed and seed stage.,VC,$50000,$500000
J-Ventures,https://www.j-ventures.com/,"Palo Alto, California, United States","usa,israel","3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","We invest in all Enterprise, B2B verticals (sector agnostic), Govt/Defense and Public-Private partnerships.",VC,$300000,$2000000
Moontide Capital,https://www.moontidecapital.com/,"29B Guy Place, San Francisco, CA 94105, United States",usa,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in early-stage immigrant founded startups in North America.,VC,$50000,$150000
Perseverance Capital,http://www.perseverance.capital/,"400 spectrum center Suite 2040, irvine CA 72712","taiwan,usa,spain,colombia","3. Early Revenue,2. Prototype,1. Idea or Patent,4. Scaling,6. Pre-IPO,5. Growth",We Invest in healthcare and technology companies from seed to PreIPO. Sweet spot is $1M+ revenues and scaling/growth stage.,VC,$25000,$1000000
Zentynel,https://zentynel.com/,"Americo Vespucio 2700 room 903, Vitacura, Santiago, Chile","usa,chile,argentina,brazil,mexico,canada,colombia","3. Early Revenue,2. Prototype,4. Scaling","We invest in biotech-based companies (agtech, foodtech, industrial process, therapeutic and medical devices) with a strong relation to Latinamerica (either founder from Latam, company based on Latam, Latam as a main market,etc)",VC,$500000,$2000000
H/L Ventures,https://h-l.vc/,"30 Rockefeller Plaza, New York, NY ",usa,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth","We invest in US-based start-up companies building at the nexus of impact, growth, and diversity. Within our company-building ecosystem, we have H/L Studio (https://h-l.vc/hl-studio/), which works with businesses from inception through pre-Series A; and CityRock Ventures (https://h-l.vc/cityrock-ventures/), which makes Series A & B investments. 

H/L Ventures’ involvement with our portfolio companies is as hands-on and supportive as possible throughout the entrepreneurship journey. This is the hallmark of H/L’s approach: we hold ourselves to a standard of virtually daily contact with every company in our portfolio, on an open-ended basis. This is not the empty promise of a website value-added page, but the core of our investment thesis. We host weekly calls with our senior portfolio team and each team of founders, which leads to daily activities involving our staff, Venture Partners, EPIRs, advisors, and network of service providers. All of this is in a supportive mode, meant to ensure that whatever needs our portfolio companies have, we remain actively relevant and helpful, every day. This care is given to all portfolio companies, regardless of which H/L Ventures vehicle is engaged.",VC,$100000,$1500000
Saka Ventures,https://saka.vc,"NYC, USA","india,usa,singapore,uk","3. Early Revenue,2. Prototype",We invest in Indian startups targeting the US and other global markets.,VC,$100000,$300000
MFV Partners,https://www.mfvpartners.com,"300, 3rd Street, Suite 2, Los Altos, CA, 94022","usa,canada","2. Prototype,3. Early Revenue","We invest in Seed through Series A deep tech startups transforming large industries. 

We look for proprietary technology that's hard to replicate which drives the primary competitive advantage for the company. 

We invest across hardware components, full stack systems and software deep tech companies",VC,$500000,$3000000
OTF,https://www.otf.om/,"Knowledge Oasis Muscat, Building #5, Muscat, Oman","algeria,bahrain,egypt,iraq,jordan,kenya,kuwait,lebanon,lybia,morocco,oman,pakistan,qatar,saudi arabia,sudan,syria,palestine,tanzania,uae,uruguay","1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in MENA region sector agnostic startups. ,VC,$50000,$500000
Prima Ventures,https://www.prima.ventures/,"435 NW 23rd Street, Suite 206, Oklahoma City 73103",usa,"1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in US-based companies from historically underfunded communities at the earliest stage, regardless of industry",VC,$25000,$250000
Platanus Ventures,https://ventures.platan.us/,"Vitacura 4380, local 3, Vitacura, Santiago de Chile","argentina,chile,peru,ecuador,uruguay,bolivia,mexico,colombia,venezuela,costa rica,panama,paraguay,cuba,guatemala,spain","1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in digital Latam startups with at least one technical founder that can build the product. ,"Incubator, Accelerator",$100000,$300000
Resolute Ventures,http://resolute.vc,San Francisco,"usa,canada,israel","1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in pre-seed & seed rounds for founders at the beginning of their journey. We typically lead.,VC,$50000,$1500000
Palumni VC,http://palumni.vc/,USA,"australia,armenia,usa,canada,uk,germany,estonia,ghana,mexico,singapore","2. Prototype,3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","We invest in Palantir alumni founders solving meaningful, large problems around the world. We are not bound by stage, sector, or geography. ",VC,$150000,$450000
The Council Capital,https://www.thecouncil.co/,"364 28th Ave, San Francisco, CA 94121",usa,"1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in pre-seed and seed stage deals in Logistics/Supply Chain, Fintech, Healthtech, and Future of Work.",VC,$50000,$250000
Waveline,https://waveline.vc,London,"usa,israel,uk","1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in construction and real estate technology companies from idea stage onward,VC,$100000,$250000
Flyer One Ventures,https://www.flyerone.vc/,"London, 13 Charles II Street, GIVC Tech llI Limited","usa,czech republic,estonia,finland,georgia,latvia,lithuania,poland,uk,ukraine,turkey","3. Early Revenue,4. Scaling","We invest in early-stage startups operating in such industries as EdTech, Mobile, B2B SaaS, Enterprise, Gaming, FoodTech and founded by a team based in the CEE, Baltic or Nordic region.",VC,$100000,$1000000
Jonathan Hollis,https://www.linkedin.com/in/jhjhollis,London,uk,"3. Early Revenue,4. Scaling,2. Prototype",I invest in UK startups qualifying for EIS raising a late seed or A round.,Solo angel,$1000,$50000
C2 Capital,https://www.c2capital.org/,"5 Cheapside, London, EC2V 6AA, UK","uk,sweden,israel,usa,canada,india,australia,germany,france,ukraine","3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","We invest in technology oriented businesses, solving real-world problems, with revenues or a clear path to revenue, with repeatable and scalable business models, and global potential.",VC,$50000,$10000000
